group	num.meiose.paterna
control	2.49E+011
control	2.95E+011
control	1.21E+011
control	1.02E+011
control	2.95E+011
control	2.22E+011
control	2.03E+011
control	3.86E+011
control	2.03E+011
control	2.49E+011
control	1.67E+011
control	1.85E+011
control	6.60E+010
control	1.67E+011
control	5.68E+010
case	1.30E+011
case	2.03E+011
case	4.77E+010
case	3.77E+011
case	3.95E+011
case	7.51E+010
case	1.67E+011
case	4.77E+010
case	3.13E+011
case	2.31E+011
case	1.48E+011
case	1.76E+011
case	1.85E+011
case	7.51E+010
case	4.77E+010
